"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-01-01T00:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",87.33,"provisorisch"
"2026-01-01T00:00+0100","Zch_Heubeeribüel","T","h1","°C",-4.38,"provisorisch"
"2026-01-01T00:00+0100","Zch_Heubeeribüel","p","h1","hPa",948.62,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",74.93,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-4.18,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","WD","h1","°",213.59,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.18,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.08,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",969.89,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",64.88,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","T","h1","°C",-2.55,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","WD","h1","°",314.22,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.53,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.38,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","p","h1","hPa",972.47,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",65.59,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-3.22,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",271.22,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.59,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.53,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",969.75,"provisorisch"
"2026-01-01T01:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",93.7,"provisorisch"
"2026-01-01T01:00+0100","Zch_Heubeeribüel","T","h1","°C",-4.68,"provisorisch"
"2026-01-01T01:00+0100","Zch_Heubeeribüel","p","h1","hPa",947.79,"provisorisch"
"2026-01-01T01:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",75.35,"provisorisch"
"2026-01-01T01:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T01:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-4.38,"provisorisch"
"2026-01-01T01:00+0100","Zch_Rosengartenstrasse","WD","h1","°",156.76,"provisorisch"
"2026-01-01T01:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.18,"provisorisch"
"2026-01-01T01:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.03,"provisorisch"
"2026-01-01T01:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",969.1,"provisorisch"
"2026-01-01T01:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",69.36,"provisorisch"
"2026-01-01T01:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T01:00+0100","Zch_Schimmelstrasse","T","h1","°C",-3.36,"provisorisch"
"2026-01-01T01:00+0100","Zch_Schimmelstrasse","WD","h1","°",326.75,"provisorisch"
"2026-01-01T01:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.65,"provisorisch"
"2026-01-01T01:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.45,"provisorisch"
"2026-01-01T01:00+0100","Zch_Schimmelstrasse","p","h1","hPa",971.68,"provisorisch"
"2026-01-01T01:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",68.15,"provisorisch"
"2026-01-01T01:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T01:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.01,"provisorisch"
"2026-01-01T01:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-3.43,"provisorisch"
"2026-01-01T01:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",351.2,"provisorisch"
"2026-01-01T01:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.8,"provisorisch"
"2026-01-01T01:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.62,"provisorisch"
"2026-01-01T01:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",968.97,"provisorisch"
"2026-01-01T02:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",96.0,"provisorisch"
"2026-01-01T02:00+0100","Zch_Heubeeribüel","T","h1","°C",-4.79,"provisorisch"
"2026-01-01T02:00+0100","Zch_Heubeeribüel","p","h1","hPa",947.25,"provisorisch"
"2026-01-01T02:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",77.92,"provisorisch"
"2026-01-01T02:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T02:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-4.87,"provisorisch"
"2026-01-01T02:00+0100","Zch_Rosengartenstrasse","WD","h1","°",99.01,"provisorisch"
"2026-01-01T02:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.21,"provisorisch"
"2026-01-01T02:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.04,"provisorisch"
"2026-01-01T02:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",968.51,"provisorisch"
"2026-01-01T02:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",70.17,"provisorisch"
"2026-01-01T02:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T02:00+0100","Zch_Schimmelstrasse","T","h1","°C",-3.64,"provisorisch"
"2026-01-01T02:00+0100","Zch_Schimmelstrasse","WD","h1","°",329.6,"provisorisch"
"2026-01-01T02:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.68,"provisorisch"
"2026-01-01T02:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.59,"provisorisch"
"2026-01-01T02:00+0100","Zch_Schimmelstrasse","p","h1","hPa",971.17,"provisorisch"
"2026-01-01T02:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",74.26,"provisorisch"
"2026-01-01T02:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T02:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2026-01-01T02:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-3.91,"provisorisch"
"2026-01-01T02:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",2.95,"provisorisch"
